provider,region,instance_type,vcpu,ram_gb,instance_count,monthly_hours,storage_gb,egress_gb,managed_db,load_balancer,avg_cpu_util,monthly_cost
Azure,southeastasia,D4s_v5,4,16,13,481.6,2065.5,17068.2,0,1,9.4,2950.45
GCP,asia-southeast1,n2-standard-8,8,32,18,208.7,3538.3,16533.3,0,1,55.6,3228.45
AWS,ap-southeast-1,m6i.2xlarge,8,32,7,534.7,3653.4,7155.9,0,0,6.9,2619.97
AWS,ap-southeast-1,m6i.xlarge,4,16,5,401.3,2633.9,12243.2,0,0,12.7,1726.61
GCP,asia-southeast1,n2-standard-4,4,16,3,705.9,3655.9,15948.2,1,0,21.9,2149.14
GCP,us-central1,n2-standard-8,8,32,3,261.5,2591.8,19677.9,0,1,86.7,2072.47
Azure,eastus,D8s_v5,8,32,10,552.1,3518.6,9542.5,0,1,11.5,3282.94
GCP,us-central1,e2-medium,2,4,4,398.2,1134.6,8050.1,0,1,20.5,877.42
Azure,eastus,D2s_v5,2,8,20,438.6,1321.5,949.6,1,1,88.7,1148.38
Azure,uksouth,D16s_v5,16,64,4,421.8,1121.6,8527.1,1,0,37.5,2356.0
GCP,europe-west2,n2-standard-16,16,64,8,688.6,2576.7,9765.0,1,0,54.2,5799.43
GCP,asia-southeast1,n2-standard-8,8,32,5,357.1,2156.6,6796.3,0,1,16.7,1536.32
Azure,uksouth,D4s_v5,4,16,4,717.5,2310.1,9779.2,1,0,17.7,1695.62
GCP,europe-west2,n2-standard-16,16,64,12,614.3,3590.5,16467.5,1,1,20.2,7872.96
AWS,eu-west-2,t3.medium,2,4,19,702.0,1206.9,16806.8,0,0,54.4,2110.58
Azure,eastus,D4s_v5,4,16,20,420.2,1415.1,7126.1,1,0,10.6,2500.47
GCP,us-central1,e2-standard-2,2,8,16,489.9,531.6,689.2,1,1,6.3,685.25
Azure,southeastasia,D4s_v5,4,16,18,686.6,1571.9,6388.3,0,0,53.4,3469.99
GCP,us-central1,n2-standard-2,2,8,7,470.7,2177.5,273.6,0,0,58.0,511.46
AWS,ap-southeast-1,t3.medium,2,4,6,233.7,2388.1,13163.9,0,1,84.0,1471.15
Azure,eastus,B2ms,2,8,2,239.6,807.3,5655.0,0,0,21.8,572.2
Azure,eastus,B2ms,2,8,7,703.9,3333.4,12957.8,0,1,5.9,1749.23
Azure,southeastasia,D8s_v5,8,32,2,381.8,910.5,18326.9,0,0,69.3,1888.69
GCP,us-central1,n2-standard-16,16,64,15,542.2,1490.3,9453.7,0,1,33.3,7309.49
AWS,us-east-1,m6i.large,2,8,13,719.1,2163.2,14623.3,0,1,63.8,2308.58
AWS,eu-west-2,t3.large,2,8,15,691.1,3812.1,69.6,1,1,75.3,1372.49
Azure,uksouth,B2ms,2,8,4,639.1,1426.8,9217.1,1,1,48.2,1215.02
GCP,europe-west2,n2-standard-8,8,32,8,463.6,3667.2,11002.5,0,1,76.1,2810.74
GCP,asia-southeast1,e2-medium,2,4,1,270.7,106.2,18941.3,0,0,14.7,1501.71
GCP,asia-southeast1,n2-standard-16,16,64,19,463.3,2653.8,481.0,0,0,21.9,7741.65
Azure,southeastasia,D16s_v5,16,64,11,594.9,3858.5,16965.5,0,0,59.3,7696.91
GCP,us-central1,n2-standard-2,2,8,14,584.0,2059.7,17407.8,0,1,6.8,2398.16
Azure,uksouth,B2ms,2,8,8,440.6,684.1,3786.6,1,0,74.4,748.88
AWS,us-east-1,m6i.large,2,8,14,229.1,1577.3,910.8,1,0,50.7,547.12
Azure,eastus,D2s_v5,2,8,3,331.2,3787.3,7671.0,0,0,54.6,1033.27
AWS,eu-west-2,m6i.2xlarge,8,32,6,243.4,48.5,17684.2,0,1,24.9,2128.47
GCP,asia-southeast1,e2-medium,2,4,19,348.7,1299.8,17084.8,0,0,31.4,1665.44
AWS,eu-west-2,m6i.xlarge,4,16,2,678.5,165.8,12677.6,0,0,63.5,1407.45
AWS,eu-west-2,m6i.large,2,8,2,382.6,54.7,19623.7,0,1,6.6,1695.78
GCP,us-central1,e2-medium,2,4,14,270.5,3166.8,11089.2,1,1,94.8,1343.32
Azure,eastus,D4s_v5,4,16,9,389.3,3624.8,16423.8,0,0,84.9,2338.34
AWS,ap-southeast-1,t3.medium,2,4,11,518.4,3992.6,19690.5,0,0,85.8,2214.31
GCP,asia-southeast1,n2-standard-4,4,16,16,216.8,1304.1,17931.2,0,0,65.1,2265.04
AWS,eu-west-2,t3.large,2,8,18,345.7,2745.6,14524.2,0,1,71.8,2086.02
AWS,ap-southeast-1,m6i.xlarge,4,16,3,415.4,239.8,18954.0,0,1,80.4,1881.69
Azure,southeastasia,D4s_v5,4,16,19,505.4,483.0,51.6,0,0,56.5,2159.76
AWS,us-east-1,m6i.xlarge,4,16,1,696.0,1322.1,14095.5,0,1,10.7,1459.68
AWS,us-east-1,m6i.2xlarge,8,32,20,642.4,905.3,10564.6,1,1,73.6,6088.47
Azure,southeastasia,D8s_v5,8,32,16,260.3,2213.1,8454.2,0,0,89.2,2804.5
AWS,eu-west-2,m6i.large,2,8,16,387.5,2537.4,10234.0,0,1,89.2,1802.75
Azure,uksouth,D8s_v5,8,32,10,478.1,1076.2,19273.1,0,0,94.7,3621.2
AWS,eu-west-2,m6i.xlarge,4,16,11,193.4,3340.9,9945.7,0,1,38.2,1632.63
Azure,uksouth,D8s_v5,8,32,9,306.8,1004.3,11682.8,1,0,15.0,2266.2
GCP,us-central1,n2-standard-2,2,8,1,491.6,2576.3,8548.5,0,1,46.7,946.32
AWS,eu-west-2,t3.large,2,8,14,425.2,3121.8,8519.8,1,1,9.1,1657.75
GCP,asia-southeast1,n2-standard-2,2,8,16,426.9,800.6,17269.7,1,1,82.1,2269.64
AWS,ap-southeast-1,m6i.xlarge,4,16,3,330.0,2408.1,3040.7,0,1,35.1,728.31
GCP,asia-southeast1,e2-medium,2,4,11,596.5,1772.6,1837.3,1,1,46.2,637.36
AWS,eu-west-2,m6i.2xlarge,8,32,19,623.7,2339.5,10829.0,0,1,78.1,6016.99
AWS,us-east-1,m6i.large,2,8,4,658.7,1709.5,18180.0,1,1,36.3,2002.9
GCP,asia-southeast1,e2-medium,2,4,8,711.3,1033.7,5624.3,0,1,70.5,788.94
GCP,asia-southeast1,e2-standard-2,2,8,19,209.4,388.7,1763.4,0,0,43.5,462.62
GCP,europe-west2,n2-standard-16,16,64,18,293.7,2832.6,15266.5,1,1,25.1,6022.65
GCP,asia-southeast1,n2-standard-2,2,8,10,657.5,2171.6,4780.8,0,1,20.9,1327.74
GCP,asia-southeast1,n2-standard-8,8,32,13,594.7,988.0,17519.9,1,1,22.6,4851.45
AWS,eu-west-2,m6i.xlarge,4,16,14,305.7,2750.6,15620.7,1,0,7.8,2503.75
Azure,southeastasia,D4s_v5,4,16,12,575.6,1017.7,11081.4,1,0,64.3,2692.88
GCP,europe-west2,n2-standard-2,2,8,15,506.0,1283.9,5061.3,0,1,76.1,1357.57
AWS,eu-west-2,t3.medium,2,4,17,284.8,3869.3,13719.8,1,0,59.3,1828.28
GCP,us-central1,n2-standard-16,16,64,6,598.1,1322.3,17524.5,1,1,59.0,4283.42
GCP,us-central1,e2-medium,2,4,6,466.1,1159.7,4299.9,0,1,80.6,555.07
AWS,eu-west-2,m6i.2xlarge,8,32,1,626.7,803.5,4844.6,0,0,60.2,749.48
GCP,asia-southeast1,e2-standard-2,2,8,3,462.0,2990.4,9282.0,1,1,58.0,1213.75
GCP,us-central1,e2-standard-2,2,8,20,327.4,352.3,10838.9,1,0,75.0,1435.06
Azure,uksouth,D8s_v5,8,32,19,334.2,137.1,6588.2,0,1,37.4,3278.82
Azure,eastus,D2s_v5,2,8,6,551.7,2151.3,18215.5,1,1,39.5,2021.02
GCP,europe-west2,e2-standard-2,2,8,12,221.8,3834.5,6101.3,1,0,90.1,1084.34
GCP,asia-southeast1,e2-standard-2,2,8,8,529.0,3318.9,10180.5,1,0,17.7,1537.07
GCP,europe-west2,e2-standard-2,2,8,18,687.9,3921.9,17697.0,1,0,43.5,2690.09
Azure,uksouth,D16s_v5,16,64,18,504.8,3385.3,3875.4,1,1,5.4,8524.46
AWS,ap-southeast-1,m6i.2xlarge,8,32,6,494.3,298.6,3412.9,0,1,24.3,1633.6
Azure,eastus,B2ms,2,8,2,274.6,1463.6,13757.7,0,0,27.6,1302.0
AWS,us-east-1,m6i.4xlarge,16,64,9,341.8,3619.2,13105.8,0,0,10.3,3749.52
AWS,ap-southeast-1,m6i.large,2,8,8,324.6,437.1,18821.5,1,1,67.2,1952.55
Azure,uksouth,D16s_v5,16,64,4,639.2,2050.9,16969.1,1,1,62.3,3825.72
Azure,uksouth,B2ms,2,8,15,619.9,3600.1,16777.7,0,0,45.0,2468.03
GCP,us-central1,n2-standard-2,2,8,18,702.8,3891.9,15366.3,1,0,90.2,2797.97
Azure,southeastasia,D8s_v5,8,32,4,712.5,393.9,17279.3,1,1,17.2,2742.78
Azure,eastus,D8s_v5,8,32,5,717.0,2246.1,17954.6,1,1,74.8,3080.49
GCP,europe-west2,e2-standard-2,2,8,5,653.8,2359.9,19318.6,0,0,37.5,1955.91
AWS,eu-west-2,m6i.xlarge,4,16,5,610.9,2845.3,6620.4,0,1,28.7,1509.65
Azure,uksouth,B2ms,2,8,9,454.7,1560.3,14590.6,0,0,58.2,1723.51
Azure,eastus,B2ms,2,8,12,360.1,24.3,17321.9,1,1,12.5,1863.82
GCP,us-central1,e2-medium,2,4,1,653.9,1842.0,18623.0,1,0,93.0,1681.51
GCP,europe-west2,n2-standard-8,8,32,14,401.8,3010.3,18177.5,0,0,58.0,4008.34
AWS,us-east-1,m6i.large,2,8,18,677.4,2592.3,4660.8,0,0,89.5,1783.21
Azure,eastus,D4s_v5,4,16,3,412.9,519.9,19608.6,1,1,25.4,1952.88
AWS,ap-southeast-1,m6i.xlarge,4,16,2,185.0,985.3,19569.1,0,1,60.4,1772.67
AWS,eu-west-2,m6i.large,2,8,12,251.0,3278.3,18791.5,1,1,14.2,2196.65
GCP,us-central1,e2-standard-2,2,8,3,738.5,197.5,17179.4,1,1,45.7,1621.66
GCP,asia-southeast1,n2-standard-16,16,64,4,281.3,2999.9,14514.4,0,1,28.4,2356.17
GCP,europe-west2,n2-standard-4,4,16,8,346.9,1055.5,18931.1,0,1,89.4,2156.54
GCP,asia-southeast1,n2-standard-2,2,8,7,404.0,2907.1,7525.5,0,0,22.6,1178.08
AWS,eu-west-2,m6i.large,2,8,9,574.0,2443.0,8802.4,0,0,77.0,1547.5
Azure,southeastasia,D16s_v5,16,64,6,416.5,2224.2,883.8,0,1,30.4,2533.63
AWS,us-east-1,m6i.xlarge,4,16,14,521.1,2342.6,5114.2,1,0,13.3,2093.07
Azure,eastus,D8s_v5,8,32,11,503.8,3544.9,12478.3,0,0,24.3,3604.05
AWS,eu-west-2,m6i.2xlarge,8,32,14,491.9,945.4,4446.9,1,0,66.9,3425.0
GCP,asia-southeast1,n2-standard-8,8,32,5,401.6,3859.4,13800.2,0,1,11.8,2343.11
GCP,europe-west2,e2-standard-2,2,8,5,484.3,1579.8,5093.3,0,1,8.1,755.66
GCP,us-central1,n2-standard-8,8,32,19,390.9,1664.7,12479.2,0,0,81.5,3956.33
AWS,ap-southeast-1,t3.large,2,8,17,472.8,2506.5,4256.3,1,1,7.0,1390.58
Azure,southeastasia,D2s_v5,2,8,6,514.5,1215.0,7412.4,1,1,62.4,1144.69
GCP,europe-west2,e2-standard-2,2,8,3,556.6,2436.4,4742.1,1,0,56.7,797.9
Azure,southeastasia,D2s_v5,2,8,17,355.2,3138.8,6559.3,0,1,17.4,1538.31
GCP,us-central1,n2-standard-16,16,64,1,549.7,938.8,4176.4,0,0,85.4,867.61
Azure,southeastasia,D8s_v5,8,32,19,473.3,2680.3,7457.5,1,0,94.5,4921.0
AWS,ap-southeast-1,t3.large,2,8,8,267.2,311.0,7825.4,1,1,17.5,995.79
GCP,europe-west2,n2-standard-16,16,64,17,567.9,818.0,15337.0,1,0,56.1,9720.83
AWS,us-east-1,m6i.2xlarge,8,32,16,710.0,2670.4,19290.8,0,1,70.8,6262.61
GCP,asia-southeast1,n2-standard-8,8,32,10,268.5,3899.6,14522.7,1,1,43.0,2852.27
GCP,asia-southeast1,n2-standard-4,4,16,16,446.5,2381.0,7866.9,0,1,20.1,2441.39
Azure,uksouth,D2s_v5,2,8,19,377.0,1014.2,14857.2,0,1,5.8,2045.1
Azure,uksouth,D2s_v5,2,8,18,336.6,29.6,6889.9,0,1,24.7,1282.68
AWS,ap-southeast-1,t3.large,2,8,16,247.4,2773.2,13346.9,1,0,85.5,1850.79
AWS,us-east-1,m6i.4xlarge,16,64,4,295.5,2198.1,18374.9,0,1,43.6,2644.52
AWS,us-east-1,m6i.4xlarge,16,64,11,215.7,3755.7,17338.7,1,0,56.1,3681.67
AWS,eu-west-2,t3.medium,2,4,6,540.9,339.5,11691.8,1,0,79.5,1272.32
Azure,eastus,D16s_v5,16,64,9,593.7,671.5,11330.5,0,1,79.9,5292.36
AWS,eu-west-2,t3.large,2,8,15,193.1,222.0,18078.4,0,0,23.0,1799.13
Azure,uksouth,D4s_v5,4,16,16,560.5,479.8,17910.8,1,1,86.1,3562.88
AWS,eu-west-2,m6i.xlarge,4,16,8,733.5,496.1,15139.0,1,1,43.0,2598.73
Azure,eastus,D4s_v5,4,16,5,408.6,2550.0,11529.0,0,0,41.8,1570.87
AWS,eu-west-2,m6i.large,2,8,3,241.1,1264.3,3437.8,1,0,57.4,538.49
AWS,eu-west-2,m6i.4xlarge,16,64,12,557.4,1751.1,8954.2,0,1,53.6,6452.06
GCP,asia-southeast1,e2-medium,2,4,18,628.8,2025.1,3389.1,0,0,88.9,892.59
AWS,us-east-1,m6i.large,2,8,4,581.9,3523.0,13620.3,0,1,62.3,1707.62
AWS,us-east-1,m6i.2xlarge,8,32,6,711.9,3430.2,6678.3,1,1,80.9,2558.77
GCP,europe-west2,n2-standard-16,16,64,20,373.3,2214.9,15800.8,1,0,58.3,7848.99
Azure,eastus,B2ms,2,8,10,543.9,3057.0,15680.3,1,0,89.4,2031.94
GCP,asia-southeast1,e2-standard-2,2,8,16,353.6,1299.5,8255.1,0,1,44.1,1249.14
GCP,us-central1,n2-standard-8,8,32,7,711.2,381.9,3059.0,0,1,12.1,2277.45
AWS,us-east-1,m6i.xlarge,4,16,18,549.8,2214.7,18384.7,0,0,80.9,3624.85
AWS,eu-west-2,m6i.2xlarge,8,32,1,463.8,2099.5,7216.6,1,0,42.5,1084.63
AWS,us-east-1,m6i.2xlarge,8,32,6,310.7,3178.5,8985.9,1,0,6.7,1847.38
AWS,ap-southeast-1,m6i.2xlarge,8,32,16,616.3,3355.9,18839.3,1,0,68.8,6246.02
GCP,europe-west2,e2-standard-2,2,8,19,408.0,3552.7,12102.3,0,1,87.3,1856.64
GCP,us-central1,e2-standard-2,2,8,19,618.6,664.5,11974.8,0,1,56.2,1804.62
AWS,us-east-1,m6i.xlarge,4,16,19,665.1,1166.4,10576.3,0,0,40.5,3504.22
AWS,ap-southeast-1,t3.medium,2,4,5,490.5,440.6,12350.0,1,0,42.4,1288.04
GCP,us-central1,e2-medium,2,4,17,643.0,2785.5,14976.2,1,0,8.4,1824.29
GCP,asia-southeast1,n2-standard-8,8,32,1,310.1,463.3,18978.4,1,1,21.4,1747.84
AWS,us-east-1,m6i.xlarge,4,16,7,729.4,1380.8,10086.1,0,0,71.9,2017.78
AWS,eu-west-2,t3.large,2,8,8,630.7,2846.6,15835.5,1,0,71.3,2076.88
GCP,asia-southeast1,n2-standard-4,4,16,18,351.9,990.5,17341.9,1,1,38.1,2896.31
Azure,uksouth,D16s_v5,16,64,17,627.8,2519.1,18873.9,0,1,90.6,10946.96
AWS,ap-southeast-1,t3.large,2,8,1,326.6,2494.5,3136.3,0,1,53.1,545.44
AWS,ap-southeast-1,m6i.xlarge,4,16,12,259.0,1762.9,9723.5,0,1,8.9,1750.72
GCP,europe-west2,e2-standard-2,2,8,10,223.4,3095.9,13203.1,0,1,41.9,1510.28
Azure,eastus,D16s_v5,16,64,5,737.2,2655.5,8378.7,1,0,28.4,3960.28
GCP,us-central1,e2-standard-2,2,8,4,591.3,2578.4,1396.1,1,0,56.4,535.24
AWS,us-east-1,m6i.2xlarge,8,32,18,708.0,2412.2,3922.6,0,1,9.4,5471.95
GCP,europe-west2,e2-standard-2,2,8,19,411.9,3461.4,10173.2,0,1,62.3,1784.56
AWS,eu-west-2,m6i.2xlarge,8,32,13,401.3,2157.6,289.3,1,0,10.2,2389.24
GCP,us-central1,e2-medium,2,4,7,394.0,2745.4,4954.9,0,0,34.0,727.47
AWS,ap-southeast-1,t3.large,2,8,9,373.9,847.7,3735.8,0,0,43.3,713.77
GCP,europe-west2,n2-standard-2,2,8,6,739.6,3696.2,1518.0,0,1,67.0,904.33
AWS,ap-southeast-1,m6i.xlarge,4,16,2,377.2,3942.3,3645.7,1,0,75.0,892.6
GCP,asia-southeast1,n2-standard-2,2,8,16,571.3,560.4,12164.4,0,0,27.2,2033.71
Azure,southeastasia,D4s_v5,4,16,16,198.0,3304.3,10119.8,1,1,8.2,1926.13
AWS,eu-west-2,t3.large,2,8,10,264.4,1446.9,3306.1,1,1,54.5,742.62
GCP,europe-west2,n2-standard-16,16,64,7,416.9,531.9,777.3,1,1,69.7,2659.62
Azure,uksouth,D8s_v5,8,32,16,583.6,35.7,535.0,1,1,52.8,4074.29
Azure,southeastasia,D16s_v5,16,64,6,590.6,3007.8,10135.3,0,0,37.3,4330.28
AWS,ap-southeast-1,m6i.2xlarge,8,32,8,306.0,2133.4,7567.8,0,0,29.7,1934.56
GCP,europe-west2,n2-standard-2,2,8,1,540.7,53.8,13201.0,1,0,56.1,1206.73
AWS,ap-southeast-1,m6i.xlarge,4,16,14,663.1,3119.4,10907.6,0,1,76.0,3362.16
GCP,us-central1,n2-standard-2,2,8,18,332.3,681.0,7850.7,1,0,14.1,1345.52
GCP,us-central1,n2-standard-8,8,32,14,404.8,1697.4,15958.5,0,0,12.1,3541.33
AWS,ap-southeast-1,m6i.xlarge,4,16,12,604.4,2709.5,3592.4,1,0,83.0,2148.57
GCP,us-central1,n2-standard-4,4,16,12,268.6,3833.9,5044.1,0,1,60.4,1369.86
AWS,us-east-1,t3.large,2,8,18,679.3,3423.2,6616.0,0,0,58.3,1856.48
Azure,uksouth,D4s_v5,4,16,13,256.5,1647.2,3553.4,1,1,24.1,1223.83
AWS,eu-west-2,t3.large,2,8,16,624.7,3639.7,17608.6,0,0,57.8,2633.07
GCP,europe-west2,n2-standard-4,4,16,19,356.7,3456.5,15849.5,0,0,39.6,2978.99
GCP,europe-west2,n2-standard-16,16,64,16,676.2,3505.9,14426.8,0,1,90.5,10463.74
Azure,uksouth,B2ms,2,8,12,230.9,2280.6,7802.2,1,0,70.8,1145.59
AWS,ap-southeast-1,m6i.2xlarge,8,32,1,257.5,606.5,11981.6,0,0,77.8,1240.43
AWS,ap-southeast-1,m6i.large,2,8,16,730.8,1576.0,2998.8,1,0,54.2,1717.25
GCP,asia-southeast1,n2-standard-4,4,16,1,322.8,843.4,4278.4,1,0,58.6,569.75
GCP,europe-west2,n2-standard-2,2,8,10,230.9,1636.7,8070.4,0,1,83.7,1078.04
AWS,ap-southeast-1,t3.large,2,8,8,351.6,3521.1,13808.3,1,1,70.0,1875.43
AWS,ap-southeast-1,m6i.2xlarge,8,32,13,193.9,2008.8,3059.2,1,0,74.9,1599.14
GCP,asia-southeast1,n2-standard-8,8,32,2,604.1,994.0,7871.9,1,1,32.3,1364.69
GCP,asia-southeast1,e2-medium,2,4,4,286.4,3607.9,15677.9,1,0,26.5,1666.26
Azure,southeastasia,D16s_v5,16,64,18,312.3,1486.8,10014.4,0,1,43.8,6067.05
GCP,asia-southeast1,n2-standard-2,2,8,11,303.8,3472.8,14947.3,1,0,5.6,1906.25
GCP,europe-west2,n2-standard-2,2,8,13,602.3,3852.0,7599.9,1,0,30.3,1850.05
GCP,europe-west2,n2-standard-4,4,16,20,636.6,3834.8,4356.7,1,1,89.0,3465.54
Azure,eastus,D8s_v5,8,32,6,623.3,2787.6,1065.8,0,1,19.2,1816.63
AWS,us-east-1,m6i.xlarge,4,16,11,365.9,3879.6,9494.8,1,0,63.5,1985.84
Azure,uksouth,D2s_v5,2,8,9,391.6,2831.3,11147.7,1,1,50.5,1656.32
GCP,asia-southeast1,n2-standard-16,16,64,19,481.4,3466.5,7803.6,0,1,31.8,8895.97
AWS,us-east-1,m6i.4xlarge,16,64,4,584.3,2507.9,10649.9,0,0,79.4,2863.71
Azure,southeastasia,D16s_v5,16,64,15,338.5,3907.5,637.9,1,0,21.2,5041.73
GCP,europe-west2,e2-medium,2,4,1,706.4,3347.8,9281.8,0,0,83.6,1115.74
GCP,us-central1,n2-standard-16,16,64,10,196.8,55.3,14109.1,1,1,67.6,2736.5
Azure,uksouth,D16s_v5,16,64,17,681.8,1210.9,19484.3,0,0,40.3,11643.79
Azure,southeastasia,B2ms,2,8,17,351.1,3971.5,18172.4,0,0,52.2,2361.49
Azure,southeastasia,D4s_v5,4,16,19,224.6,1359.1,18352.3,1,0,46.6,2577.48
GCP,europe-west2,e2-standard-2,2,8,19,496.2,1454.7,888.1,1,1,37.8,983.79
AWS,us-east-1,m6i.4xlarge,16,64,1,329.4,1646.6,19845.4,1,1,57.3,2088.02
Azure,uksouth,D4s_v5,4,16,16,651.6,3714.4,12730.9,0,1,80.1,3676.61
GCP,asia-southeast1,n2-standard-16,16,64,10,624.3,796.4,12062.6,1,0,65.8,6394.91
AWS,eu-west-2,m6i.2xlarge,8,32,5,361.4,2662.5,13537.5,0,1,78.7,2189.44
GCP,us-central1,n2-standard-4,4,16,19,443.2,1455.3,2348.3,1,1,13.4,2026.46
Azure,uksouth,B2ms,2,8,17,477.0,1709.5,13243.3,0,1,25.0,2024.23
Azure,uksouth,D8s_v5,8,32,17,398.6,2235.4,19402.3,1,1,48.2,4624.86
GCP,europe-west2,n2-standard-8,8,32,15,591.2,822.0,8981.9,0,1,93.6,4743.16
GCP,europe-west2,n2-standard-4,4,16,16,424.6,3385.6,3105.5,0,0,81.6,1925.63
AWS,us-east-1,t3.medium,2,4,20,671.9,1408.0,17198.1,0,1,59.9,2149.87
Azure,uksouth,D2s_v5,2,8,1,594.1,1690.9,11746.1,1,0,49.6,1249.82
AWS,ap-southeast-1,t3.large,2,8,7,262.2,1753.0,18879.6,1,0,9.5,2012.28
Azure,eastus,D4s_v5,4,16,6,387.4,469.1,6911.6,1,1,92.5,1191.47
Azure,eastus,D2s_v5,2,8,19,440.3,448.0,4603.1,1,1,82.9,1352.05
GCP,europe-west2,e2-medium,2,4,8,404.1,2456.5,2492.1,1,1,20.4,602.28
Azure,uksouth,D2s_v5,2,8,1,270.3,3612.4,19950.9,0,1,74.6,1924.73
GCP,europe-west2,n2-standard-4,4,16,13,406.1,3935.6,15072.7,0,0,59.7,2663.82
GCP,europe-west2,n2-standard-8,8,32,14,441.7,1184.3,10403.6,1,1,18.2,3694.87
Azure,eastus,D2s_v5,2,8,6,461.5,666.9,19247.6,1,1,7.6,1985.93
GCP,asia-southeast1,e2-medium,2,4,13,414.9,997.2,14902.7,0,1,17.1,1477.18
Azure,eastus,D4s_v5,4,16,16,733.5,3971.4,15683.9,1,0,34.5,4075.91
GCP,us-central1,n2-standard-2,2,8,14,207.7,3306.6,19945.9,0,0,40.1,2081.79
GCP,asia-southeast1,n2-standard-8,8,32,16,692.9,481.5,6102.5,1,0,75.9,5339.35
GCP,us-central1,n2-standard-4,4,16,6,458.4,135.3,5059.8,1,0,47.4,1038.04
AWS,eu-west-2,m6i.xlarge,4,16,4,316.3,1384.6,14098.5,0,0,23.8,1575.67
AWS,us-east-1,m6i.4xlarge,16,64,19,401.1,1730.9,19696.5,1,0,81.5,7645.39
Azure,southeastasia,D8s_v5,8,32,5,661.0,3631.7,17449.7,1,0,87.9,3321.23
Azure,southeastasia,D16s_v5,16,64,13,205.4,3427.0,928.1,1,0,90.5,2767.26
Azure,uksouth,D16s_v5,16,64,2,455.2,427.2,17450.7,0,1,12.2,2225.62
AWS,us-east-1,m6i.xlarge,4,16,18,576.7,348.2,3198.1,1,1,89.1,2388.1
GCP,us-central1,n2-standard-16,16,64,6,387.8,994.6,11399.7,1,1,80.9,2883.4
Azure,uksouth,D2s_v5,2,8,7,542.3,922.8,11204.3,1,0,20.5,1473.77
AWS,ap-southeast-1,t3.large,2,8,17,618.0,400.1,14807.2,1,1,66.0,2387.37
GCP,asia-southeast1,e2-standard-2,2,8,11,473.6,256.6,1027.6,0,0,9.2,487.97
AWS,eu-west-2,m6i.2xlarge,8,32,8,647.1,1694.5,10965.2,0,1,9.8,3276.06
AWS,eu-west-2,t3.medium,2,4,17,292.9,2528.4,11540.9,1,0,67.9,1511.01
GCP,asia-southeast1,n2-standard-4,4,16,9,375.7,2913.0,13721.3,1,0,63.4,2194.45
AWS,ap-southeast-1,m6i.2xlarge,8,32,2,337.5,1799.0,12612.5,0,0,28.6,1518.66
AWS,ap-southeast-1,m6i.large,2,8,19,614.8,3556.3,1683.6,0,0,56.6,1745.6
Azure,uksouth,B2ms,2,8,20,278.5,1355.5,3441.2,0,1,49.2,923.98
AWS,eu-west-2,t3.large,2,8,15,680.1,3274.7,4794.4,1,0,81.0,1675.49
Azure,eastus,D2s_v5,2,8,5,598.1,2684.8,11300.7,0,0,65.1,1471.63
Azure,uksouth,D8s_v5,8,32,9,441.7,2844.2,12209.9,0,1,68.2,2958.27
Azure,uksouth,B2ms,2,8,7,381.0,1002.0,19238.3,0,0,41.1,1836.74
GCP,europe-west2,e2-standard-2,2,8,9,211.1,156.5,11372.2,1,0,75.3,1158.56
AWS,us-east-1,t3.medium,2,4,9,568.4,3338.8,9926.9,1,0,45.9,1425.53
AWS,eu-west-2,t3.large,2,8,19,605.5,2080.6,3550.9,0,0,68.5,1505.38
GCP,europe-west2,n2-standard-4,4,16,15,339.4,2179.9,10531.9,1,1,89.8,2228.28
Azure,southeastasia,D8s_v5,8,32,10,480.4,567.3,4091.4,1,0,92.6,2627.99
Azure,uksouth,D8s_v5,8,32,1,334.4,645.9,19513.6,1,1,60.9,1853.27
AWS,us-east-1,m6i.4xlarge,16,64,12,234.7,97.1,1648.3,1,0,54.3,2369.7
Azure,uksouth,D8s_v5,8,32,7,585.7,3865.4,7155.2,0,0,72.4,2677.22
AWS,eu-west-2,m6i.4xlarge,16,64,2,719.4,3620.6,7933.5,0,0,58.1,2155.27
GCP,us-central1,e2-medium,2,4,4,223.4,449.8,19539.0,1,0,62.3,1655.9
Azure,eastus,B2ms,2,8,19,532.8,2290.2,3723.2,0,1,58.2,1352.3
AWS,us-east-1,m6i.2xlarge,8,32,6,635.4,720.1,18659.6,0,1,32.5,3091.24
AWS,ap-southeast-1,m6i.large,2,8,17,197.9,2053.8,1716.0,0,1,12.5,698.38
AWS,us-east-1,m6i.4xlarge,16,64,6,485.4,2563.4,19246.1,0,0,36.9,4089.79
GCP,us-central1,n2-standard-2,2,8,5,230.0,3944.5,19078.7,1,1,58.8,2001.23
GCP,us-central1,n2-standard-8,8,32,14,574.0,2109.8,2954.8,0,1,61.6,3500.08
GCP,us-central1,e2-standard-2,2,8,2,384.9,2565.5,10430.9,0,0,17.6,1112.64
GCP,europe-west2,n2-standard-16,16,64,13,548.4,2235.7,4915.2,0,1,61.9,6551.96
AWS,eu-west-2,t3.large,2,8,8,585.0,227.7,11101.7,1,0,15.8,1464.77
AWS,us-east-1,m6i.large,2,8,15,215.8,913.6,16494.7,0,0,34.3,1768.04
AWS,ap-southeast-1,t3.medium,2,4,20,588.6,408.0,18265.0,0,1,48.6,2089.4
